КодНИС;НаименованиеНоменклатуры;ВидДлины;Производитель;ГОСТ;МаркаСтали;Диаметр;Диаметр;Размер2;Стенка;ТипПроизводства;РегионСклада;Склад;ИмеетсяЦенаТовара;ЦенаЗаТонну;ЦенаЗаТонну1;ЦенаЗаТонну2;ЦенаЗаМетр;ЦенаЗаМетр1;ЦенаЗаМетр2
"1546350";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 89 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"20";89;89;0;6;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";0;0;0;0;0;0
"1546390";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20Х, 127 * 15  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"20Х";127;127;0;15;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";90416.68;88750.01;87083.35;3746;3676.95;3607.9
"1546582";"ТРУБЫ б/ш х/д ГОСТ 9567-75, ГОСТ 8733-74 Группа В, Ст10, 24П * 1П  , ОД, ПНТЗ";"ОД";"ПНТЗ";"9567-75, 8733-74, В";"10";24;24;0;1;"Холоднодеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"1547011";"ТРУБЫ х/д нерж ГОСТ 9941-81, Ст12Х18Н10Т, 22 * 2.8  , МР, ПНТЗ";"МР";"ПНТЗ";"9941-81";"12Х18Н10Т";22;22;0;2.8;"Холоднодеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"1186986";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 83 * 8  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"20";83;83;0;8;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"1190371";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 146 * 25  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"20";146;146;0;25;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";75833.34;75833.34;75833.34;5657.12;5657.12;5657.12
"1194308";"Труба б/ш х/д ГОСТ 8734-75, ГОСТ 8733-74 Группа В, Ст20, 54 * 2  , НД, ПНТЗ";"НД";"ПНТЗ";"8734-75, 8733-74, В";"20";54;54;0;2;"Холоднодеформированные трубы";"52";"Склад г. Нижний Новгород (ООО ""Авангард"")";"Нет";0;0;0;0;0;0
"1203307";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст40Х, 89 * 14  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"40Х";89;89;0;14;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";92375.01;90708.34;89041.68;2391.96;2348.8;2305.65
"1203307";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст40Х, 89 * 14  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"40Х";89;89;0;14;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";90416.68;88750.01;87083.35;2341.25;2298.09;2254.94
"1203307";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст40Х, 89 * 14  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"40Х";89;89;0;14;"Горячедеформированные трубы";"61";"Склад г. Батайск (ООО Мост-терминал)";"Нет";0;0;0;0;0;0
